source_record_key,season_key,research_split,kickoff_at,home_team_key,home_team_name,away_team_key,away_team_name,home_score_ft,away_score_ft,outcome_ft
fictional-01,fictional-season,demo,2025-01-01T18:00:00+00:00,northbridge,Northbridge,riverside,Riverside,1,0,H
fictional-02,fictional-season,demo,2025-01-05T18:00:00+00:00,riverside,Riverside,westfield,Westfield,0,2,A
fictional-03,fictional-season,demo,2025-01-09T18:00:00+00:00,westfield,Westfield,eastport,Eastport,3,1,H
fictional-04,fictional-season,demo,2025-01-13T18:00:00+00:00,eastport,Eastport,northbridge,Northbridge,2,0,H
fictional-05,fictional-season,demo,2025-01-17T18:00:00+00:00,northbridge,Northbridge,westfield,Westfield,1,2,A
fictional-06,fictional-season,demo,2025-01-21T18:00:00+00:00,riverside,Riverside,eastport,Eastport,0,1,A
fictional-07,fictional-season,demo,2025-01-25T18:00:00+00:00,westfield,Westfield,northbridge,Northbridge,3,0,H
fictional-08,fictional-season,demo,2025-01-29T18:00:00+00:00,eastport,Eastport,riverside,Riverside,2,2,D
fictional-09,fictional-season,demo,2025-02-02T18:00:00+00:00,northbridge,Northbridge,riverside,Riverside,1,1,D
fictional-10,fictional-season,demo,2025-02-06T18:00:00+00:00,riverside,Riverside,westfield,Westfield,0,0,D
fictional-11,fictional-season,demo,2025-02-10T18:00:00+00:00,westfield,Westfield,eastport,Eastport,3,2,H
fictional-12,fictional-season,demo,2025-02-14T18:00:00+00:00,eastport,Eastport,northbridge,Northbridge,2,1,H
fictional-13,fictional-season,demo,2025-02-18T18:00:00+00:00,northbridge,Northbridge,westfield,Westfield,1,0,H
fictional-14,fictional-season,demo,2025-02-22T18:00:00+00:00,riverside,Riverside,eastport,Eastport,0,2,A
fictional-15,fictional-season,demo,2025-02-26T18:00:00+00:00,westfield,Westfield,northbridge,Northbridge,3,1,H
fictional-16,fictional-season,demo,2025-03-02T18:00:00+00:00,eastport,Eastport,riverside,Riverside,2,0,H
fictional-17,fictional-season,demo,2025-03-06T18:00:00+00:00,northbridge,Northbridge,riverside,Riverside,1,2,A
fictional-18,fictional-season,demo,2025-03-10T18:00:00+00:00,riverside,Riverside,westfield,Westfield,0,1,A
fictional-19,fictional-season,demo,2025-03-14T18:00:00+00:00,westfield,Westfield,eastport,Eastport,3,0,H
fictional-20,fictional-season,demo,2025-03-18T18:00:00+00:00,eastport,Eastport,northbridge,Northbridge,2,2,D
fictional-21,fictional-season,demo,2025-03-22T18:00:00+00:00,northbridge,Northbridge,westfield,Westfield,1,1,D
fictional-22,fictional-season,demo,2025-03-26T18:00:00+00:00,riverside,Riverside,eastport,Eastport,0,0,D
fictional-23,fictional-season,demo,2025-03-30T18:00:00+00:00,westfield,Westfield,northbridge,Northbridge,3,2,H
fictional-24,fictional-season,demo,2025-04-03T18:00:00+00:00,eastport,Eastport,riverside,Riverside,2,1,H
